lat,lon
50.3803167,-4.1413000
50.3803150,-4.1412950
50.3803117,-4.1412917
50.3803100,-4.1412967
50.3803100,-4.1413000
50.3803117,-4.1413033
50.3803100,-4.1413050
50.3803083,-4.1412983
50.3803083,-4.1413000
50.3803050,-4.1413083
50.3803050,-4.1413133
50.3803033,-4.1413117
50.3803000,-4.1413100
50.3802983,-4.1413100
50.3802967,-4.1413100
50.3802933,-4.1413167
50.3802883,-4.1413217
50.3802900,-4.1413217
50.3802883,-4.1413250
50.3802900,-4.1413250
50.3802917,-4.1413283
50.3802950,-4.1413267
50.3802983,-4.1413217
50.3802983,-4.1413217
50.3802967,-4.1413133
50.3802933,-4.1413150
50.3802933,-4.1413200
50.3802917,-4.1413267
50.3802883,-4.1413267
50.3802883,-4.1413167
50.3802933,-4.1413233
50.3802950,-4.1413283
50.3802967,-4.1413267
50.3802967,-4.1413317
50.3802983,-4.1413333
50.3803017,-4.1413333
50.3803000,-4.1413350
50.3803000,-4.1413400
50.3803000,-4.1413433
50.3803000,-4.1413467
50.3803017,-4.1413500
50.3803050,-4.1413500
50.3803067,-4.1413500
50.3803083,-4.1413483
50.3803067,-4.1413467
50.3802983,-4.1413367
50.3802917,-4.1413250
50.3802783,-4.1413083
50.3802650,-4.1412967
50.3802550,-4.1412817
50.3802483,-4.1412650
50.3802417,-4.1412550
50.3802300,-4.1412467
50.3802217,-4.1412400
50.3802167,-4.1412350
50.3802117,-4.1412183
50.3802033,-4.1412033
50.3801933,-4.1411833
50.3801833,-4.1411750
50.3801800,-4.1411600
50.3801750,-4.1411433
50.3801633,-4.1411350
50.3801533,-4.1411267
50.3801433,-4.1411167
50.3801267,-4.1411067
50.3801100,-4.1410983
50.3800933,-4.1410917
50.3800800,-4.1410683
50.3800683,-4.1410433
50.3800567,-4.1410283
50.3800433,-4.1410117
50.3800267,-4.1409983
50.3800083,-4.1409800
50.3799917,-4.1409667
50.3799783,-4.1409533
50.3799650,-4.1409433
50.3799500,-4.1409267
50.3799383,-4.1409083
50.3799217,-4.1408917
50.3799050,-4.1408733
50.3798950,-4.1408650
50.3798800,-4.1408433
50.3798733,-4.1408217
50.3798650,-4.1408000
50.3798500,-4.1407800
50.3798400,-4.1407567
50.3798317,-4.1407433
50.3798183,-4.1407233
50.3798050,-4.1407033
50.3797950,-4.1406867
50.3797900,-4.1406667
50.3797767,-4.1406483
50.3797600,-4.1406250
50.3797383,-4.1406100
50.3797233,-4.1405967
50.3797067,-4.1405833
50.3796933,-4.1405733
50.3796800,-4.1405517
50.3796683,-4.1405317
50.3796550,-4.1405100
50.3796550,-4.1404933
50.3796583,-4.1404733
50.3796567,-4.1404617
50.3796517,-4.1404600
50.3796467,-4.1404500
50.3796383,-4.1404400
50.3796333,-4.1404183
50.3796367,-4.1403917
50.3796417,-4.1403717
50.3796550,-4.1403550
50.3796683,-4.1403333
50.3796817,-4.1403050
50.3797000,-4.1402833
50.3797217,-4.1402567
50.3797350,-4.1402250
50.3797517,-4.1401917
50.3797667,-4.1401583
50.3797850,-4.1401300
50.3798000,-4.1400967
50.3798167,-4.1400683
50.3798367,-4.1400400
50.3798517,-4.1400133
50.3798683,-4.1399800
50.3798800,-4.1399433
50.3798983,-4.1399150
50.3799133,-4.1398867
50.3799367,-4.1398650
50.3799600,-4.1398417
50.3799800,-4.1398133
50.3799967,-4.1397917
50.3800117,-4.1397633
50.3800300,-4.1397400
50.3800500,-4.1397200
50.3800600,-4.1396800
50.3800717,-4.1396467
50.3800717,-4.1396100
50.3800567,-4.1395800
50.3800383,-4.1395500
50.3800183,-4.1395300
50.3799967,-4.1395100
50.3799717,-4.1394867
50.3799433,-4.1394683
50.3799150,-4.1394450
50.3798867,-4.1394217
50.3798567,-4.1393967
50.3798200,-4.1393700
50.3797817,-4.1393450
50.3797367,-4.1393217
50.3796900,-4.1392983
50.3796450,-4.1392717
50.3796017,-4.1392500
50.3795550,-4.1392267
50.3795083,-4.1392000
50.3794600,-4.1391717
50.3794117,-4.1391467
50.3793633,-4.1391167
50.3793167,-4.1391017
50.3792600,-4.1390767
50.3792100,-4.1390517
50.3791567,-4.1390183
50.3791133,-4.1389867
50.3790750,-4.1389683
50.3790300,-4.1389417
50.3789950,-4.1389167
50.3789583,-4.1388900
50.3789150,-4.1388617
50.3788717,-4.1388417
50.3788333,-4.1388233
50.3787933,-4.1387950
50.3787483,-4.1387700
50.3787100,-4.1387483
50.3786750,-4.1387283
50.3786433,-4.1387083
50.3786100,-4.1386850
50.3785783,-4.1386633
50.3785450,-4.1386500
50.3784950,-4.1386483
50.3784617,-4.1386267
50.3784250,-4.1386017
50.3783900,-4.1385767
50.3783750,-4.1385450
50.3783583,-4.1385233
50.3783500,-4.1385133
50.3783483,-4.1385017
50.3783467,-4.1384967
50.3783417,-4.1384967
50.3783500,-4.1384900
50.3783550,-4.1384767
50.3783417,-4.1384633
50.3783267,-4.1384433
50.3783017,-4.1384250
50.3782733,-4.1384150
50.3782383,-4.1384050
50.3782017,-4.1383933
50.3781667,-4.1383800
50.3781300,-4.1383800
50.3780967,-4.1383717
50.3780667,-4.1383633
50.3780167,-4.1383517
50.3779800,-4.1383533
50.3779417,-4.1383350
50.3779017,-4.1383050
50.3778617,-4.1382900
50.3778167,-4.1382767
50.3777617,-4.1382500
50.3777233,-4.1382383
50.3776967,-4.1382300
50.3776883,-4.1382167
50.3776850,-4.1382033
50.3776817,-4.1381917
50.3776817,-4.1381783
50.3776833,-4.1381683
50.3776900,-4.1381583
50.3776967,-4.1381550
50.3777067,-4.1381583
50.3777117,-4.1381600
50.3777167,-4.1381633
50.3777217,-4.1381650
50.3777250,-4.1381683
50.3777283,-4.1381683
50.3777283,-4.1381633
50.3777283,-4.1381583
50.3777250,-4.1381550
50.3777233,-4.1381550
50.3777217,-4.1381567
50.3777167,-4.1381517
50.3777000,-4.1381383
50.3776733,-4.1381117
50.3776667,-4.1380800
50.3776683,-4.1380350
50.3776717,-4.1379950
50.3776717,-4.1379400
50.3776700,-4.1378850
50.3776767,-4.1378250
50.3776867,-4.1377600
50.3777050,-4.1376867
50.3777083,-4.1376250
50.3777167,-4.1375583
50.3777283,-4.1374967
50.3777400,-4.1374383
50.3777550,-4.1373717
50.3777767,-4.1373100
50.3778000,-4.1372433
50.3778167,-4.1371767
50.3778233,-4.1371150
50.3778317,-4.1370533
50.3778450,-4.1369850
50.3778683,-4.1369150
50.3778850,-4.1368467
50.3778967,-4.1367817
50.3779067,-4.1367233
50.3779233,-4.1366667
50.3779350,-4.1366050
50.3779450,-4.1365450
50.3779550,-4.1364917
50.3779733,-4.1364267
50.3779917,-4.1363667
50.3780100,-4.1363133
50.3780250,-4.1362617
50.3780400,-4.1362117
50.3780550,-4.1361550
50.3780700,-4.1361017
50.3780933,-4.1360567
50.3781150,-4.1360050
50.3781350,-4.1359667
50.3781500,-4.1359250
50.3781683,-4.1358733
50.3781850,-4.1358300
50.3782000,-4.1357850
50.3782050,-4.1357350
50.3782100,-4.1357017
50.3782167,-4.1356717
50.3782233,-4.1356450
50.3782217,-4.1356133
50.3782250,-4.1355900
50.3782250,-4.1355667
50.3782333,-4.1355333
50.3782483,-4.1354883
50.3782750,-4.1354467
50.3782917,-4.1353967
50.3783117,-4.1353467
50.3783300,-4.1352900
50.3783483,-4.1352317
50.3783583,-4.1351583
50.3783717,-4.1350917
50.3783833,-4.1350283
50.3783833,-4.1349550
50.3783867,-4.1348750
50.3783867,-4.1347967
50.3783883,-4.1347200
50.3783750,-4.1346367
50.3783600,-4.1345567
50.3783450,-4.1344867
50.3783250,-4.1344133
50.3783083,-4.1343400
50.3782883,-4.1342683
50.3782683,-4.1341900
50.3782517,-4.1341217
50.3782367,-4.1340517
50.3782267,-4.1339817
50.3782100,-4.1339117
50.3781900,-4.1338417
50.3781833,-4.1337683
50.3781867,-4.1336983
50.3781833,-4.1336200
50.3781800,-4.1335467
50.3781733,-4.1334750
50.3781617,-4.1333967
50.3781533,-4.1333183
50.3781450,-4.1332417
50.3781433,-4.1331683
50.3781333,-4.1330967
50.3781333,-4.1330250
50.3781250,-4.1329483
50.3781150,-4.1328750
50.3781133,-4.1328017
50.3781017,-4.1327300
50.3780783,-4.1326533
50.3780583,-4.1325717
50.3780583,-4.1324950
50.3780583,-4.1324133
50.3780533,-4.1323317
50.3780517,-4.1322467
50.3780500,-4.1321650
50.3780450,-4.1320800
50.3780350,-4.1319917
50.3780267,-4.1319083
50.3780317,-4.1318300
50.3780383,-4.1317517
50.3780400,-4.1316700
50.3780383,-4.1315833
50.3780400,-4.1315000
50.3780317,-4.1314267
50.3780300,-4.1313450
50.3780300,-4.1312683
50.3780233,-4.1311950
50.3780333,-4.1311233
50.3780367,-4.1310567
50.3780417,-4.1309983
50.3780550,-4.1309567
50.3780700,-4.1309250
50.3780800,-4.1308900
50.3780800,-4.1308700
50.3780767,-4.1308550
50.3780750,-4.1308433
50.3780750,-4.1308383
50.3780750,-4.1308283
50.3780750,-4.1308167
50.3780733,-4.1308050
50.3780683,-4.1307983
50.3780667,-4.1307883
50.3780600,-4.1307800
50.3780617,-4.1307750
50.3780617,-4.1307750
50.3780633,-4.1307767
50.3780633,-4.1307800
50.3780667,-4.1307867
50.3780667,-4.1307817
50.3780700,-4.1307650
50.3780633,-4.1307367
50.3780433,-4.1307167
50.3780200,-4.1306950
50.3779933,-4.1306817
50.3779717,-4.1306767
50.3779583,-4.1306700
50.3779500,-4.1306633
50.3779383,-4.1306617
50.3779317,-4.1306583
50.3779283,-4.1306600
50.3779217,-4.1306617
50.3779183,-4.1306600
50.3779233,-4.1306633
50.3779283,-4.1306700
50.3779317,-4.1306733
50.3779333,-4.1306750
50.3779333,-4.1306783
50.3779350,-4.1306850
50.3779333,-4.1306900
50.3779100,-4.1306867
50.3778650,-4.1306817
50.3777917,-4.1306667
50.3777150,-4.1306500
50.3776450,-4.1306350
50.3775767,-4.1306217
50.3775000,-4.1306117
50.3774267,-4.1306083
50.3773567,-4.1306083
50.3772767,-4.1306033
50.3771983,-4.1305933
50.3771083,-4.1305700
50.3770233,-4.1305533
50.3769417,-4.1305350
50.3768350,-4.1305217
50.3767367,-4.1305033
50.3766300,-4.1304800
50.3765217,-4.1304600
50.3764133,-4.1304467
50.3763117,-4.1304267
50.3761983,-4.1304000
50.3760917,-4.1303833
50.3759817,-4.1303633
50.3758700,-4.1303600
50.3757467,-4.1303350
50.3756300,-4.1303100
50.3755333,-4.1302933
50.3754550,-4.1302833
50.3753750,-4.1302683
50.3753233,-4.1302633
50.3752783,-4.1302533
50.3752567,-4.1302683
50.3752300,-4.1302717
50.3752000,-4.1302600
50.3751683,-4.1302617
50.3751183,-4.1302400
50.3750683,-4.1302200
50.3750117,-4.1301983
50.3749500,-4.1301750
50.3748883,-4.1301450
50.3748250,-4.1301083
50.3747517,-4.1300683
50.3746817,-4.1300150
50.3746117,-4.1299533
50.3745333,-4.1298700
50.3744533,-4.1297833
50.3743783,-4.1296967
50.3742917,-4.1296083
50.3742150,-4.1295167
50.3741217,-4.1294317
50.3740383,-4.1293417
50.3739467,-4.1292517
50.3738750,-4.1291650
50.3738017,-4.1290833
50.3737300,-4.1290067
50.3736650,-4.1289250
50.3736017,-4.1288550
50.3735350,-4.1287867
50.3734850,-4.1287267
50.3734450,-4.1286933
50.3734067,-4.1286550
50.3733767,-4.1286283
50.3733433,-4.1285933
50.3733100,-4.1285533
50.3732667,-4.1285183
